rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord
20200529001453,11011,2019,01328639,900340,CFS,연결재무제표,IS,손익계산서,영업이익,제 5 기,2019.01.01 ~ 2019.12.31,"112,537,059",제 4 기,2018.01.01 ~ 2018.12.31,"167,768,968",제 3 기,2017.01.01 ~ 2017.12.31,"143,354,744",25
20200529001453,11011,2019,01328639,900340,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 5 기,2019.01.01 ~ 2019.12.31,"95,686,546",제 4 기,2018.01.01 ~ 2018.12.31,"166,778,001",제 3 기,2017.01.01 ~ 2017.12.31,"134,620,848",27
20200529001453,11011,2019,01328639,900340,CFS,연결재무제표,IS,손익계산서,당기순이익,제 5 기,2019.01.01 ~ 2019.12.31,"60,667,466",제 4 기,2018.01.01 ~ 2018.12.31,"120,363,009",제 3 기,2017.01.01 ~ 2017.12.31,"100,143,436",29
20200427000778,11011,2019,01107665,900250,CFS,연결재무제표,BS,재무상태표,유동자산,제 8 기,2019.12.31 현재,"876,077,020",제 7 기,2018.12.31 현재,"1,125,271,168",제 6 기,2017.12.31 현재,"1,025,289,762",1
20200427000778,11011,2019,01107665,900250,CFS,연결재무제표,BS,재무상태표,비유동자산,제 8 기,2019.12.31 현재,"926,518,116",제 7 기,2018.12.31 현재,"589,984,698",제 6 기,2017.12.31 현재,"440,329,882",3
20200427000778,11011,2019,01107665,900250,CFS,연결재무제표,BS,재무상태표,자산총계,제 8 기,2019.12.31 현재,"1,802,595,136",제 7 기,2018.12.31 현재,"1,715,255,866",제 6 기,2017.12.31 현재,"1,465,619,644",5
20200427000778,11011,2019,01107665,900250,CFS,연결재무제표,BS,재무상태표,유동부채,제 8 기,2019.12.31 현재,"178,787,098",제 7 기,2018.12.31 현재,"232,102,138",제 6 기,2017.12.31 현재,"127,053,621",7
20200427000778,11011,2019,01107665,900250,CFS,연결재무제표,BS,재무상태표,비유동부채,제 8 기,2019.12.31 현재,"24,793,002",제 7 기,2018.12.31 현재,"19,955,527",제 6 기,2017.12.31 현재,"20,524,935",9
20200427000778,11011,2019,01107665,900250,CFS,연결재무제표,BS,재무상태표,부채총계,제 8 기,2019.12.31 현재,"203,580,100",제 7 기,2018.12.31 현재,"252,057,665",제 6 기,2017.12.31 현재,"147,578,556",11
20200427000778,11011,2019,01107665,900250,CFS,연결재무제표,BS,재무상태표,자본금,제 8 기,2019.12.31 현재,"218,898,329",제 7 기,2018.12.31 현재,"218,898,329",제 6 기,2017.12.31 현재,"218,898,329",13
