rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord
20210615000367,11011,2021,01276594,293940,CFS,연결재무제표,BS,재무상태표,부채총계,제 6 기,2021.03.31 현재,"1,179,930,655,456",제 5 기,2020.09.30 현재,"1,021,861,970,101",제 4 기,2020.03.31 현재,"531,866,272,678",11
20210615000367,11011,2021,01276594,293940,CFS,연결재무제표,BS,재무상태표,자본금,제 6 기,2021.03.31 현재,"56,330,123,000",제 5 기,2020.09.30 현재,"56,330,123,000",제 4 기,2020.03.31 현재,"51,630,123,000",13
20210615000367,11011,2021,01276594,293940,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 6 기,2021.03.31 현재,"-11,737,617,472",제 5 기,2020.09.30 현재,"-7,892,054,945",제 4 기,2020.03.31 현재,"-1,787,093,145",17
20210615000367,11011,2021,01276594,293940,CFS,연결재무제표,BS,재무상태표,자본총계,제 6 기,2021.03.31 현재,"353,505,568,243",제 5 기,2020.09.30 현재,"356,902,452,054",제 4 기,2020.03.31 현재,"277,959,212,810",21
20210615000367,11011,2021,01276594,293940,CFS,연결재무제표,IS,손익계산서,영업이익,제 6 기,2020.10.01 ~ 2021.03.31,"22,814,306,766",제 5 기,2020.04.01 ~ 2020.09.30,"13,350,362,969",제 4 기,2019.10.01 ~ 2020.03.31,"13,968,000,283",25
20210615000367,11011,2021,01276594,293940,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 6 기,2020.10.01 ~ 2021.03.31,"6,932,231,565",제 5 기,2020.04.01 ~ 2020.09.30,"2,526,240,050",제 4 기,2019.10.01 ~ 2020.03.31,"5,722,267,683",27
20210615000367,11011,2021,01276594,293940,CFS,연결재무제표,IS,손익계산서,당기순이익,제 6 기,2020.10.01 ~ 2021.03.31,"6,932,231,565",제 5 기,2020.04.01 ~ 2020.09.30,"2,526,240,050",제 4 기,2019.10.01 ~ 2020.03.31,"5,722,267,683",29
20210615000367,11011,2021,01276594,293940,OFS,재무제표,BS,재무상태표,유동자산,제 6 기,2021.03.31 현재,"7,585,290,449",제 5 기,2020.09.30 현재,"8,436,515,834",제 4 기,2020.03.31 현재,"9,886,725,502",2
20210615000367,11011,2021,01276594,293940,OFS,재무제표,BS,재무상태표,비유동자산,제 6 기,2021.03.31 현재,"696,423,026,520",제 5 기,2020.09.30 현재,"696,414,793,892",제 4 기,2020.03.31 현재,"625,709,916,449",4
20210615000367,11011,2021,01276594,293940,OFS,재무제표,BS,재무상태표,자산총계,제 6 기,2021.03.31 현재,"704,008,316,969",제 5 기,2020.09.30 현재,"704,851,309,726",제 4 기,2020.03.31 현재,"635,596,641,951",6
