rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,ord,thstrm_add_amount,frmtrm_add_amount
20210517001941,11014,2021,00818472,160600,CFS,연결재무제표,IS,손익계산서,매출액,제 18 기3분기,2020.07.01 ~ 2021.03.31,"7,922,603,590",제 17 기3분기,2020.01.01 ~ 2020.06.30,"10,736,181,563",23,"21,911,361,365","23,583,216,412"
20210517001941,11014,2021,00818472,160600,CFS,연결재무제표,IS,손익계산서,영업이익,제 18 기3분기,2020.07.01 ~ 2021.03.31,"-2,039,819,484",제 17 기3분기,2020.01.01 ~ 2020.06.30,"-1,086,913,943",25,"-3,944,681,149","-5,749,014,633"
20210517001941,11014,2021,00818472,160600,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기3분기,2020.07.01 ~ 2021.03.31,"-3,343,920,300",제 17 기3분기,2020.01.01 ~ 2020.06.30,"-3,567,168,452",27,"-4,972,945,948","-9,404,768,380"
20210517001941,11014,2021,00818472,160600,CFS,연결재무제표,IS,손익계산서,당기순이익,제 18 기3분기,2020.07.01 ~ 2021.03.31,"-3,343,916,262",제 17 기3분기,2020.01.01 ~ 2020.06.30,"-3,567,168,452",29,"-5,057,735,340","-9,404,768,380"
20210517001941,11014,2021,00818472,160600,OFS,재무제표,BS,재무상태표,유동자산,제 18 기3분기말,2021.03.31 현재,"13,426,154,595",제 17 기말,2020.06.30 현재,"24,754,504,073",2,,
20210517001941,11014,2021,00818472,160600,OFS,재무제표,BS,재무상태표,비유동자산,제 18 기3분기말,2021.03.31 현재,"7,020,301,896",제 17 기말,2020.06.30 현재,"18,713,932,332",4,,
20210517001941,11014,2021,00818472,160600,OFS,재무제표,BS,재무상태표,자산총계,제 18 기3분기말,2021.03.31 현재,"20,446,456,491",제 17 기말,2020.06.30 현재,"43,468,436,405",6,,
20210517001941,11014,2021,00818472,160600,OFS,재무제표,BS,재무상태표,유동부채,제 18 기3분기말,2021.03.31 현재,"14,993,372,474",제 17 기말,2020.06.30 현재,"38,746,480,477",8,,
20210517001941,11014,2021,00818472,160600,OFS,재무제표,BS,재무상태표,비유동부채,제 18 기3분기말,2021.03.31 현재,"7,059,832,449",제 17 기말,2020.06.30 현재,"1,037,826,024",10,,
20210517001941,11014,2021,00818472,160600,OFS,재무제표,BS,재무상태표,부채총계,제 18 기3분기말,2021.03.31 현재,"22,053,204,923",제 17 기말,2020.06.30 현재,"39,784,306,501",12,,
20210517001941,11014,2021,00818472,160600,OFS,재무제표,BS,재무상태표,자본금,제 18 기3분기말,2021.03.31 현재,"30,068,102,000",제 17 기말,2020.06.30 현재,"15,068,102,000",15,,
20210517001941,11014,2021,00818472,160600,OFS,재무제표,BS,재무상태표,이익잉여금,제 18 기3분기말,2021.03.31 현재,"-47,418,281,316",제 17 기말,2020.06.30 현재,"-42,127,402,980",19,,
20210517001941,11014,2021,00818472,160600,OFS,재무제표,BS,재무상태표,자본총계,제 18 기3분기말,2021.03.31 현재,"-1,606,748,432",제 17 기말,2020.06.30 현재,"3,684,129,904",22,,
20210517001941,11014,2021,00818472,160600,OFS,재무제표,IS,손익계산서,매출액,제 18 기3분기,2020.07.01 ~ 2021.03.31,"7,790,992,990",제 17 기3분기,2020.01.01 ~ 2020.06.30,"10,868,259,233",24,"21,388,981,830","23,375,790,558"
20210517001941,11014,2021,00818472,160600,OFS,재무제표,IS,손익계산서,영업이익,제 18 기3분기,2020.07.01 ~ 2021.03.31,"-2,135,944,712",제 17 기3분기,2020.01.01 ~ 2020.06.30,"-3,322,242,125",26,"-4,464,637,923","-5,806,366,642"
20210517001941,11014,2021,00818472,160600,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기3분기,2020.07.01 ~ 2021.03.31,"-3,371,362,848",제 17 기3분기,2020.01.01 ~ 2020.06.30,"-5,710,582,218",28,"-5,275,082,026","-9,350,876,234"
20210517001941,11014,2021,00818472,160600,OFS,재무제표,IS,손익계산서,당기순이익,제 18 기3분기,2020.07.01 ~ 2021.03.31,"-3,371,362,848",제 17 기3분기,2020.01.01 ~ 2020.06.30,"-5,710,582,218",30,"-5,290,878,336","-9,350,876,234"
20210513000749,11014,2021,00877174,169330,CFS,연결재무제표,BS,재무상태표,유동자산,제 23 기3분기말,2021.03.31 현재,"24,124,765,584",제 22 기말,2020.06.30 현재,"22,649,669,728",1,,
20210513000749,11014,2021,00877174,169330,CFS,연결재무제표,BS,재무상태표,비유동자산,제 23 기3분기말,2021.03.31 현재,"10,366,726,263",제 22 기말,2020.06.30 현재,"11,568,179,555",3,,
20210513000749,11014,2021,00877174,169330,CFS,연결재무제표,BS,재무상태표,자산총계,제 23 기3분기말,2021.03.31 현재,"34,491,491,847",제 22 기말,2020.06.30 현재,"34,217,849,283",5,,
20210513000749,11014,2021,00877174,169330,CFS,연결재무제표,BS,재무상태표,유동부채,제 23 기3분기말,2021.03.31 현재,"6,295,077,393",제 22 기말,2020.06.30 현재,"7,517,049,675",7,,
20210513000749,11014,2021,00877174,169330,CFS,연결재무제표,BS,재무상태표,비유동부채,제 23 기3분기말,2021.03.31 현재,"3,378,511,521",제 22 기말,2020.06.30 현재,"4,092,296,460",9,,
20210513000749,11014,2021,00877174,169330,CFS,연결재무제표,BS,재무상태표,부채총계,제 23 기3분기말,2021.03.31 현재,"9,673,588,914",제 22 기말,2020.06.30 현재,"11,609,346,135",11,,
20210513000749,11014,2021,00877174,169330,CFS,연결재무제표,BS,재무상태표,자본금,제 23 기3분기말,2021.03.31 현재,"4,484,229,500",제 22 기말,2020.06.30 현재,"4,484,229,500",13,,
20210513000749,11014,2021,00877174,169330,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 23 기3분기말,2021.03.31 현재,"11,473,583,839",제 22 기말,2020.06.30 현재,"9,346,690,198",17,,
20210513000749,11014,2021,00877174,169330,CFS,연결재무제표,BS,재무상태표,자본총계,제 23 기3분기말,2021.03.31 현재,"24,817,902,933",제 22 기말,2020.06.30 현재,"22,608,503,148",21,,
20210513000749,11014,2021,00877174,169330,CFS,연결재무제표,IS,손익계산서,매출액,제 23 기3분기,2020.07.01 ~ 2021.03.31,"8,025,461,808",제 22 기3분기,2019.07.01 ~ 2020.03.31,"8,044,331,159",23,"35,225,864,301","32,614,660,282"
